Provinsi,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aceh,2.5991687622738198,2.498666309547616,2.3981638568214407,2.297661404095237,2.1971589513690617,2.096656498642858,1.98,1.96,1.93,1.561614387,1.490619777,1.432929527
Sumatera Utara,1.1393952466309507,1.1558290265119062,1.1722628063928546,1.1886965862738101,1.2051303661547657,1.221564146035714,1.3,1.27,1.24,1.275856028,1.234263055,1.214010161
Sumatera Barat,1.1345938764404764,1.1490783288809538,1.1635627813214313,1.1780472337619052,1.1925316862023827,1.2070161386428602,1.29,1.27,1.25,1.29203348,1.103940133,1.091595784
Riau,3.6889574250595274,3.5090025753690384,3.3290477256785493,3.1490928759880603,2.969138026297628,2.789183176607139,2.57,2.54,2.52,1.400104131,2.080531661,1.954455032
Jambi,2.236946804714279,2.1585475321785452,2.08014825964284,2.001748987107135,1.9233497145714296,1.844950442035696,1.78,1.75,1.72,1.339973977,1.38866608,1.328589668
Sumatera Selatan,1.6963926669404827,1.6546013463809572,1.6128100258214317,1.5710187052619062,1.5292273847023807,1.4874360641428552,1.44,1.41,1.39,1.24602505,1.315686823,1.2732891
Bengkulu,2.0390801631190527,1.9829279399880875,1.9267757168571364,1.8706234937261854,1.8144712705952344,1.7583190474642834,1.67,1.65,1.63,1.548180663,1.479640566,1.397251118
Lampung,1.2467538027619058,1.2431389097738101,1.2395240167857153,1.2359091237976196,1.2322942308095248,1.2286793378214291,1.18,1.16,1.13,1.647383181,1.096006976,1.065908398
Kepulauan Bangka Belitung,3.061919545654746,2.924511634559508,2.78710372346427,2.649695812369032,2.512287901273794,2.374879990178556,2.18,2.16,2.14,1.697369349,1.604926251,1.520059522
Kepulauan Riau,4.315284896285732,4.131359388571468,3.9474338808572043,3.7635083731428836,3.5795828654286197,3.395657357714299,3.01,2.95,2.9,2.01970892,3.48136436,3.152867304
DKI Jakarta,1.8632543782821358,1.7453859295642928,1.6275174808464214,1.5096490321285785,1.391780583410707,1.2739121346928641,1.05,1.03,1.02,0.9206352777,0.6012536763,0.6361439697
Jawa Barat,1.8393860639047688,1.7860667685595217,1.732747473214289,1.679428177869056,1.626108882523809,1.5727895871785762,1.52,1.5,1.48,1.113713076,1.40621735,1.332891639
Jawa Tengah,0.6102715814261899,0.6396207346773792,0.6689698879285686,0.6983190411797651,0.7276681944309544,0.7570173476821438,0.78,0.77,0.76,1.169317338,0.8277633352,0.8056276253
DI Yogyakarta,1.5258737342380897,1.4761417317761811,1.4264097293142868,1.3766777268523782,1.3269457243904696,1.277213721928561,1.17,1.16,1.15,0.5755146618,1.60875131,1.443091715
Jawa Timur,0.5221418227857129,0.5406202227464263,0.5590986227071397,0.5775770226678532,0.5960554226285666,0.61453382258928,0.64,0.63,0.62,0.7934274665,0.6992917376,0.6787737752
Banten,3.125559407869048,2.972982039738099,2.8204046716071502,2.6678273034762015,2.5152499353452527,2.362672567214304,2.2,2.17,2.14,1.099918857,1.761304675,1.657371753
Bali,1.6450982115476194,1.5862837655952404,1.5274693196428615,1.4686548736904825,1.4098404277381036,1.3510259817857246,1.2,1.18,1.17,1.012027568,1.402483294,1.286376938
Nusa Tenggara Barat,1.0168057912857051,1.0702762810714148,1.1237467708571387,1.1772172606428484,1.230687750428558,1.284158240214282,1.34,1.32,1.29,1.632859623,1.755825514,1.639518417
Nusa Tenggara Timur,1.6559602513571434,1.6471935647142857,1.638426878071428,1.6296601914285702,1.6208935047857125,1.6121268181428583,1.68,1.67,1.66,1.250366913,1.559587752,1.501459161
Kalimantan Barat,1.987936989916662,1.9400218803333331,1.8921067707499901,1.8441916611666613,1.7962765515833325,1.7483614419999896,1.61,1.58,1.56,2.036942921,1.391470147,1.333534523
Kalimantan Tengah,3.34343607761906,3.1833612802381026,3.023286482857145,2.8632116854761875,2.70313688809523,2.5430620907142725,2.31,2.28,2.26,1.837282602,1.611282316,1.513239102
Kalimantan Selatan,2.1449756764285723,2.0780207418571592,2.0110658072857177,1.9441108727143046,1.877155938142863,1.8102010035714216,1.77,1.74,1.71,1.131089825,1.606773178,1.513367381
Kalimantan Timur,3.063434926440465,2.9405943201309412,2.8177537138214177,2.694913107511894,2.5720725012023706,2.449231894892847,2.31,2.28,2.24,2.13,1.496695463,1.414897869
Kalimantan Utara,6.71436523727391,6.292659874547667,5.870954511821537,5.449249149095294,5.027543786369165,4.605838423642922,3.9,3.87,3.84,2.86,2.249596731,2.0957176
Sulawesi Utara,1.5411563621154727,1.4836654126059443,1.4261744630964301,1.3686835135869018,1.3111925640773734,1.2537016145678592,1.11,1.09,1.07,1.401985292,0.8505573967,0.8173960455
Sulawesi Tengah,2.0291324641190585,1.9691466707380982,1.9091608773571522,1.849175083976192,1.789189290595246,1.7292034972142858,1.65,1.63,1.61,1.216622155,1.617368136,1.530149125
Sulawesi Selatan,1.0381645088904765,1.0417817076309532,1.045398906371429,1.049016105111905,1.0526333038523816,1.0562505025928575,1.08,1.06,1.05,1.183529076,0.971354264,0.9553398354
Sulawesi Tenggara,2.583440828738077,2.5049896912261715,2.4265385537142663,2.348087416202361,2.2696362786904842,2.191185141178579,2.14,2.12,2.1,1.578844295,1.745119454,1.66127643
Gorontalo,1.977138748809523,1.9078055646190535,1.8384723804285557,1.7691391962380862,1.6998060120476168,1.6304728278571474,1.61,1.59,1.58,1.158867406,1.055940912,1.022979674
Sulawesi Barat,2.4152160908452345,2.3463353329404697,2.277454575035705,2.2085738171309686,2.139693059226204,2.070812301321439,1.93,1.92,1.91,1.982532058,1.658114405,1.576144663
Maluku,2.370967686853561,2.2777872432071433,2.1846067995606973,2.0914263559142796,1.998245912267862,1.905065468621416,1.78,1.77,1.75,1.826611399,0.9893975017,1.010018877
Maluku Utara,2.8867104768690695,2.776181708238113,2.665652939607156,2.5551241709761996,2.444595402345243,2.3340666337142864,2.13,2.11,2.08,2.070554782,1.691344817,1.6115978
Papua Barat,3.8659566436666637,3.7255721635833083,3.585187683499953,3.4448032034166545,3.304418723333299,3.1640342432500006,2.59,2.57,2.55,3.943776723,2.686243712,2.458412228
Papua,3.1120206647142936,2.9911617611785744,2.870302857642855,2.749443954107136,2.6285850505714166,2.5077261470356973,1.93,1.9,1.88,4.128153318,1.606100286,1.516635045
